city;city_ibge_code;confirmed;confirmed_per_100k_inhabitants;date;death_rate;deaths;estimated_population_2019;is_last;order_for_place;place_type;state
Águas Lindas de Goiás;5200258;1;0,47072;2020-03-30;;0,0;212440,0;True;3;city;GO
Anápolis;5201108;4;1,0338;2020-03-30;;0,0;386923,0;True;14;city;GO
Aparecida de Goiânia;5201405;2;0,34591;2020-03-30;;0,0;578179,0;True;12;city;GO
Catalão;5205109;1;0,91892;2020-03-30;;0,0;108823,0;True;9;city;GO
Goianésia;5208608;1;1,42686;2020-03-30;;0,0;70084,0;True;3;city;GO
Goiânia;5208707;35;2,30854;2020-03-30;;0,0;1516113,0;True;18;city;GO
Hidrolândia;5209705;1;4,60702;2020-03-30;;0,0;21706,0;True;4;city;GO
Importados/Indefinidos;;0;;2020-03-30;;0,0;;True;11;city;GO
Itumbiara;5211503;2;1,90945;2020-03-30;;0,0;104742,0;True;1;city;GO
Jataí;5211909;2;1,98251;2020-03-30;;0,0;100882,0;True;12;city;GO
Luziânia;5212501;1;0,48008;2020-03-30;1,0;1,0;208299,0;True;6;city;GO
Rio Verde;5218805;7;2,97054;2020-03-30;;0,0;235647,0;True;18;city;GO
Silvânia;5220603;1;4,83209;2020-03-30;;0,0;20695,0;True;6;city;GO
Valparaíso de Goiás;5221858;2;1,18717;2020-03-30;;0,0;168468,0;True;7;city;GO
;52;60;0,8549;2020-03-30;0,0167;1,0;7018354,0;True;19;state;GO
Ananindeua;1500800;4;0,75387;2020-03-30;;0,0;530598,0;True;6;city;PA
Belém;1501402;13;0,87088;2020-03-30;;0,0;1492745,0;True;13;city;PA
Castanhal;1502400;1;0,49803;2020-03-30;;0,0;200793,0;True;5;city;PA
Itaituba;1503606;1;0,98768;2020-03-30;;0,0;101247,0;True;5;city;PA
Marabá;1504208;1;0,35798;2020-03-30;;0,0;279349,0;True;8;city;PA
Parauapebas;1505536;1;0,48014;2020-03-30;;0,0;208273,0;True;3;city;PA
;15;21;0,2441;2020-03-30;;0,0;8602865,0;True;13;state;PA
Campina Grande;2504009;2;0,48813;2020-03-30;;;409731,0;True;4;city;PB
Igaracy;2502607;1;16,34788;2020-03-30;;;6117,0;True;8;city;PB
João Pessoa;2507507;11;1,35968;2020-03-30;;;809015,0;True;19;city;PB
Sousa;2516201;1;1,44001;2020-03-30;;;69444,0;True;4;city;PB
;25;15;0,37331;2020-03-30;;0,0;4018127,0;True;19;state;PB
Açu;2400208;1;1,72363;2020-03-30;;0,0;58017,0;True;2;city;RN
Apodi;2401008;1;2,78979;2020-03-30;;0,0;35845,0;True;1;city;RN
Caicó;2402006;2;2,94325;2020-03-30;;0,0;67952,0;True;2;city;RN
Carnaubais;2402501;1;9,29454;2020-03-30;;0,0;10759,0;True;1;city;RN
Importados/Indefinidos;;2;;2020-03-30;;0,0;;True;2;city;RN
Luís Gomes;2407005;1;9,88533;2020-03-30;;0,0;10116,0;True;1;city;RN
Macaíba;2407104;1;1,23775;2020-03-30;;0,0;80792,0;True;2;city;RN
Monte Alegre;2407807;1;4,45414;2020-03-30;;0,0;22451,0;True;2;city;RN
Mossoró;2408003;16;5,38036;2020-03-30;0,0625;1,0;297378,0;True;8;city;RN
Natal;2408102;36;4,07184;2020-03-30;;0,0;884122,0;True;13;city;RN
Parnamirim;2403251;10;3,82455;2020-03-30;;0,0;261469,0;True;9;city;RN
Passa e Fica;2409100;1;7,53182;2020-03-30;;0,0;13277,0;True;2;city;RN
São Gonçalo do Amarante;2412005;2;1,95312;2020-03-30;;0,0;102400,0;True;2;city;RN
São José de Mipibu;2412203;1;2,27796;2020-03-30;;0,0;43899,0;True;2;city;RN
Tibau;2411056;1;24,3546;2020-03-30;;0,0;4106,0;True;2;city;RN
;24;77;2,1957;2020-03-30;0,013;1,0;3506853,0;True;13;state;RN
